sample success SP-Score Modeler SPFN SPFP Compression Compression TC s h:m:s max_rss max_vms max_uss max_pss io_in io_out mean_load cpu_time
aadh_200_2 1 0.8648088872152138 0.8642393451876941 0.13519111278478624 0.13576065481230593 (naive) 1.007380073800738 0.562358276643991 274.4025 0:04:34 7724.43 123660.95 7380.61 7543.86 1.99 6.93 177.14 527.20
tms_50_2 1 0.9513596323247798 0.9499043977055449 0.048640367675220175 0.05009560229445509 (naive) 1.0028011204481793 0.8385964912280702 332.1175 0:05:32 7956.34 123655.78 7610.96 7694.31 1.99 5.64 195.13 726.36
biotin_lipoyl_50_2 1 0.9451029320024953 0.9305896805896806 0.05489706799750471 0.06941031941031939 (naive) 0.9553571428571429 0.7529411764705882 224.3102 0:03:44 6502.50 123591.68 6159.10 6247.57 1.99 5.32 143.07 409.64
msb_500_1 1 0.8352417302798982 0.8506640751538711 0.16475826972010177 0.1493359248461289 (naive) 1.0316455696202531 0.5724137931034483 176.9136 0:02:56 6533.18 123530.32 6186.76 6269.98 1.98 6.64 134.85 311.04
DMRL_synthase_100_3 1 0.9174061433447099 0.8912466843501327 0.08259385665529007 0.10875331564986734 (naive) 0.967032967032967 0.7159763313609467 222.2878 0:03:42 6855.13 123466.38 6510.42 6594.99 1.99 5.66 157.33 412.42
cys_200_0 1 0.9162380602498164 0.9128843338213762 0.08376193975018364 0.08711566617862376 (naive) 1.0318021201413428 0.6417910447761194 232.9767 0:03:52 7487.73 123526.17 7158.58 7314.10 1.99 6.33 183.63 478.37
tms_50_0 1 0.9586365377250096 0.9535238095238096 0.04136346227499044 0.04647619047619045 (naive) 0.9971988795518207 0.8456140350877193 329.8835 0:05:29 8004.52 123656.29 7661.15 7824.52 1.99 5.63 192.49 702.46
DEATH_100_2 1 0.7493472584856397 0.7477853048462741 0.25065274151436034 0.25221469515372585 (naive) 1.0062893081761006 0.4435483870967742 243.8567 0:04:03 6556.39 111006.85 6530.80 6537.20 269.99 5.55 125.62 311.41
ghf5_20_2 1 0.06377238165317635 0.06327573618885374 0.9362276183468237 0.9367242638111463 (naive) 1.023404255319149 0.0 495.4613 0:08:15 8103.51 123590.00 7758.47 7872.08 1.99 5.43 192.86 1023.46
ghf1_20_0 1 0.8353713360906312 0.8782493619434729 0.1646286639093688 0.12175063805652708 (naive) 1.1316725978647686 0.5666003976143141 613.5296 0:10:13 9782.81 114273.02 9438.90 9553.02 125.99 5.23 192.24 1184.25
hormone_rec_100_3 1 0.6943809958885335 0.6657906263688129 0.3056190041114665 0.3342093736311871 (naive) 1.0129870129870129 0.3807829181494662 259.6848 0:04:19 7310.60 123526.20 6977.08 7133.12 1.99 5.46 164.66 487.28
Rhodanese_500_1 1 0.6936008676789588 0.7019758507135017 0.3063991323210412 0.29802414928649834 (naive) 1.0925925925925926 0.3645833333333333 182.7289 0:03:02 6707.20 123658.42 6362.98 6526.20 1.98 6.75 137.55 311.46
rhv_20_1 1 0.25659586627297837 0.3535433070866142 0.7434041337270216 0.6464566929133858 (naive) 1.4455128205128205 0.0055617352614015575 716.5362 0:11:56 7496.06 111900.07 7152.80 7264.07 365.99 5.19 213.71 1535.83
gpdh_1000_3 1 0.9636108411618616 0.9622600819495364 0.036389158838138425 0.03773991805046362 (naive) 1.0027777777777778 0.888268156424581 219.1445 0:03:39 7007.48 123592.98 6662.83 6772.78 1.98 8.25 138.43 339.18
tRNA-synt_2b_1000_3 1 0.49303849303849306 0.49937785151389463 0.506961506961507 0.5006221484861053 (naive) 0.9593147751605996 0.22093023255813954 250.8783 0:04:10 7284.31 123528.03 6939.78 7049.70 1.97 8.57 143.49 378.22
egf_200_1 1 0.7580084909301428 0.7591805179744878 0.24199150906985722 0.24081948202551218 (naive) 1.1408450704225352 0.3235294117647059 160.5351 0:02:40 6362.59 123591.62 6019.27 6131.55 1.99 5.46 124.35 322.63
